track_album_name,valence,energy,danceability,tempo,loudness,cluster
Submarine,0.4464173804052642,0.3395456795864494,0.7022062819258775,0.25754940629626183,0.7584384554639886,0
Tu Boda,0.46104031752663455,0.6522342197518938,0.6902510596674273,0.3334265039286935,0.8322230546500092,2
Stargazing,0.31585544182160014,0.6021238767766622,0.6261275948266493,0.3921550358706793,0.849211330917043,2
WHATCHU KNO ABOUT ME (with Sexyy Red),0.703363275537915,0.6923224941320788,0.8445821106401477,0.6149104009441289,0.8878247312045682,3
eternal sunshine,0.27720910800083554,0.6472231854543705,0.6369959786979675,0.3499591084609253,0.804563954076984,2
Beautiful Things,0.1978274493419678,0.47183698504106036,0.4489729377241604,0.29398946137043597,0.8580598133111954,0
LA PANTERA NEGRA (DELUXE),0.7127637351159388,0.7103622176031622,0.744592979024019,0.7548008737331389,0.8563184643732158,3
Touch,0.7921453937748067,0.9057925552065649,0.7391587870883599,0.6149311055208755,0.9195537287140342,3
I've Tried Everything But Therapy (Part 1),0.221850846041362,0.6051304973551761,0.5457015541788935,0.5781131919210742,0.8840383096766357,2
Belong Together,0.6375600584917485,0.6692717363634725,0.6380828170850994,0.22121287410582108,0.8679612043655214,3
Si Antes Te Hubiera Conocido,0.7911008982661374,0.6692717363634725,0.9402238887077492,0.4130304253755292,0.8357260007694334,3
DECIDE,0.9216628368498014,0.4547994684294817,0.6848168677317682,0.5784341128606478,0.8185554903112157,3
THE TORTURED POETS DEPARTMENT,0.2625861708794652,0.38664940198316694,0.4837517661123791,0.7441846020062735,0.7510680948427725,0
PRIMERA MUSA,0.37434719030708163,0.6823004255370326,0.5446147157917618,0.5530554779133929,0.8456678883106892,2
Not Like Us,0.19260497179862124,0.472839191900565,0.9119660906423214,0.2734505212377197,0.8315548626156681,0
Happy,0.3001880091915604,0.7123666313221714,0.4652755135311379,0.5108284936385188,0.8878652276914979,2
+57,0.6918738249425526,0.7133688381816761,0.8576241712857297,0.226445955878547,0.90094559296981,3
Embrace It,0.7921453937748067,0.6462209785948659,0.894576676448212,0.34525399339524004,0.8268572701318162,3
The Emptiness Machine,0.8109463129308544,0.8737219357024167,0.44245190740136947,0.7033500005176145,0.9056026889667322,3
MUSE,0.8443701692082722,0.7574659399998798,0.6532985545049451,0.3509529281447665,0.8975236398242453,3
Hotel California (2013 Remaster),0.6051806977229996,0.5089186388427317,0.5652646451472665,0.5118844270526,0.7812784740923726,3
The Razors Edge,0.23960726968874033,0.8917616591735,0.48157808933811547,0.4414629853929212,0.868528155182538,2
Elephant,0.25945268435345725,0.44678181355344465,0.7435061406368872,0.39009493048438365,0.8152347783829754,0
Pablo Honey,0.07771046584499686,0.4307465038013706,0.4957069883708292,0.22574200026915947,0.772146516289712,0
Nevermind (Remastered),0.5320660121161479,0.8256160064461945,0.47940441256385175,0.37212853401244345,0.854941583817604,2
Californication (Deluxe Edition),0.31167745978692285,0.7684902154544307,0.5793935441799803,0.2497541331511331,0.9168607123332052,2
